symbol,company,weight,sector,shares_held
MS,Morgan Stanley,0.002514918895476876,Financials,14430909
INTU,Intuit Inc.,0.002484435151383764,Information Technology,2863592
CL,Colgate-Palmolive Company,0.0024160118557945967,Consumer Staples,9509817
SPG,Simon Property Group Inc.,0.0024091765316923003,Real Estate,3393204
CHTR,Charter Communications Inc. Class A,0.0023641114300339675,Communication Services,1959656
CSX,CSX Corporation,0.0023620598320237616,Industrials,8856070
D,Dominion Energy Inc,0.002341473797355498,Utilities,8288636
FOXA,Twenty-First Century Fox Inc. Class A,0.0023122810588395407,Communication Services,11661399
DE,Deere & Company,0.0023122710510443687,Industrials,3525282
SYK,Stryker Corporation,0.002294297050915929,Health Care,3405542
BSX,Boston Scientific Corporation,0.0022892931533300604,Health Care,15177510
BLK,BlackRock Inc.,0.0022764031131488624,Financials,1346698
OXY,Occidental Petroleum Corporation,0.0022647240161834453,Energy,8395710
GM,General Motors Company,0.0022582389649121594,Consumer Discretionary,14404208
AGN,Allergan plc,0.0022465098289708835,Health Care,3501813
VRTX,Vertex Pharmaceuticals Incorporated,0.0021895354510581837,Health Care,2804633
SO,Southern Company,0.0021886647728782426,Utilities,11347517
BK,Bank of New York Mellon Corporation,0.002131450207881421,Financials,10094377
SPGI,S&P Global Inc.,0.0020944113579508213,Financials,2758068
RTN,Raytheon Company,0.0020859647788258754,Industrials,3126155
GD,General Dynamics Corporation,0.0020762572175092903,Industrials,3057529
NOC,Northrop Grumman Corporation,0.0020675204123243632,Industrials,1910646
MPC,Marathon Petroleum Corporation,0.00205309917948189,Energy,7615790
ILMN,Illumina Inc.,0.0020492361705455996,Health Care,1612964
NSC,Norfolk Southern Corporation,0.002034134407631448,Industrials,3007111
MET,MetLife Inc.,0.002016080345141634,Financials,10921393
CCI,Crown Castle International Corp,0.0020070132827160404,Real Estate,4551164
EXC,Exelon Corporation,0.0019981263606035377,Utilities,10595978
ICE,Intercontinental Exchange Inc.,0.0019308239380736048,Financials,6295289
FDX,FedEx Corporation,0.0018918936148555469,Industrials,2664644
MMC,Marsh & McLennan Companies Inc.,0.0018667039944082844,Financials,5529922
ITW,Illinois Tool Works Inc.,0.0018422449430085587,Industrials,3388744
ZTS,Zoetis Inc. Class A,0.001821668916135467,Health Care,5276730
PLD,Prologis Inc.,0.0018125818381195297,Real Estate,6906256
HUM,Humana Inc.,0.0018026841286946816,Health Care,1511688
COF,Capital One Financial Corporation,0.0018006525462748188,Financials,5253274
PSX,Phillips 66,0.0017953984538096569,Energy,4690134
KMB,Kimberly-Clark Corporation,0.001784119668651109,Consumer Staples,3806954
EMR,Emerson Electric Co.,0.0017475611928887528,Industrials,6878693
ECL,Ecolab Inc.,0.0017434479890731688,Materials,2789634
CTSH,Cognizant Technology Solutions Corporation Class A,0.0017326595858780363,Information Technology,6353761
AIG,American International Group Inc.,0.001726004402088831,Financials,9730132
MU,Micron Technology Inc.,0.0017176478931204304,Information Technology,12372417
PRU,Prudential Financial Inc.,0.0017137948919793116,Financials,4587467
AEP,American Electric Power Company Inc.,0.0016839916779578781,Utilities,5407437
BBT,BB&T Corporation,0.00167789693069829,Financials,8481332
AON,Aon plc,0.001662324801411067,Financials,2660181
PGR,Progressive Corporation,0.0016579313793306744,Financials,6396926
WM,Waste Management Inc.,0.0016519066866372883,Industrials,4319909
TGT,Target Corporation,0.0016389666074802323,Consumer Discretionary,5765842
AFL,Aflac Incorporated,0.0016323614626668858,Financials,8418556
HCA,HCA Healthcare Inc,0.0016272975183099867,Health Care,2962333
ATVI,Activision Blizzard Inc.,0.0016244853278667285,Communication Services,8367320
VLO,Valero Energy Corporation,0.0015453336758534588,Energy,4685397
BAX,Baxter International Inc.,0.0015441627638183655,Health Care,5451979
FIS,Fidelity National Information Services Inc.,0.001539088811666295,Information Technology,3604297
ROST,Ross Stores Inc.,0.0015383782582091014,Consumer Discretionary,4134678
APD,Air Products and Chemicals Inc.,0.0015378678606553428,Materials,2406106
AMAT,Applied Materials Inc.,0.0015265290287257648,Information Technology,10785694
KMI,Kinder Morgan Inc Class P,0.0015118075620281393,Energy,20820872
HPQ,HP Inc.,0.0015102763693668633,Information Technology,17360880
EW,Edwards Lifesciences Corporation,0.0015004086833275306,Health Care,2301325
ADI,Analog Devices Inc.,0.0014842260785348314,Information Technology,4078521
TRV,Travelers Companies Inc.,0.0014774908323842522,Financials,2932905
F,Ford Motor Company,0.0014714261085101794,Consumer Discretionary,42953416
