symbol,company,weight,sector,shares_held
TFX,Teleflex Incorporated,0.00733637442888754,Health Care,518247
ATO,Atmos Energy Corporation,0.006953425898876523,Utilities,1317059
DPZ,Domino's Pizza Inc.,0.006746891182667133,Consumer Discretionary,468801
IEX,IDEX Corporation,0.006623543222957261,Industrials,864568
UGI,UGI Corporation,0.006027647852700767,Utilities,1959362
STE,STERIS Plc,0.005962802987056826,Health Care,952365
ZBRA,Zebra Technologies Corporation Class A,0.005918159327231907,Information Technology,606417
PTC,PTC Inc.,0.005857656213286382,Information Technology,1203794
RGA,Reinsurance Group of America Incorporated,0.005854058187573342,Financials,707512
Y,Alleghany Corporation,0.005736740438555716,Financials,167220
TRMB,Trimble Inc.,0.005610126114720879,Information Technology,2830580
NVR,NVR Inc.,0.005379892670490966,Consumer Discretionary,38299
CPT,Camden Property Trust,0.005353972814865467,Real Estate,1049687
ODFL,Old Dominion Freight Line Inc.,0.005335228909963739,Industrials,737100
MOH,Molina Healthcare Inc.,0.005291630486658807,Health Care,703162
LDOS,Leidos Holdings Inc.,0.005260986965991049,Information Technology,1687889
ULTI,Ultimate Software Group Inc.,0.005157207039977513,Information Technology,352423
MKTX,MarketAxess Holdings Inc.,0.0050863018125878665,Financials,423694
OGE,OGE Energy Corp.,0.005028391689240006,Utilities,2251102
FDS,FactSet Research Systems Inc.,0.0050274871576361695,Financials,428699
NNN,National Retail Properties Inc.,0.005011346293683261,Real Estate,1793617
LII,Lennox International Inc.,0.0050108839775301894,Industrials,408615
TDY,Teledyne Technologies Incorporated,0.004989054614824262,Industrials,406632
WST,West Pharmaceutical Services Inc.,0.004838158642601985,Health Care,834924
STLD,Steel Dynamics Inc.,0.0048343897609193325,Materials,2587191
SCI,Service Corporation International,0.004824208755200592,Consumer Discretionary,2039430
OHI,Omega Healthcare Investors Inc.,0.0048062688783911635,Real Estate,2261977
LYV,Live Nation Entertainment Inc.,0.0046019653401379035,Communication Services,1558725
CGNX,Cognex Corporation,0.004530266135007111,Information Technology,1940702
WRB,W. R. Berkley Corporation,0.0045272108282563735,Financials,1087364
RPM,RPM International Inc.,0.004499371355560509,Materials,1495816
TYL,Tyler Technologies Inc.,0.0044963964516190015,Information Technology,437558
EWBC,East West Bancorp Inc.,0.004481210371025698,Financials,1633775
GGG,Graco Inc.,0.004459159900594389,Industrials,1875848
INGR,Ingredion Incorporated,0.004352405070639345,Consumer Staples,796879
KRC,Kilroy Realty Corporation,0.004292726085488428,Real Estate,1135483
EXEL,Exelixis Inc.,0.004273911828128624,Health Care,3369720
WEX,WEX Inc.,0.004270635413652504,Information Technology,485795
POST,Post Holdings Inc.,0.004222112318282239,Consumer Staples,751535
AFG,American Financial Group Inc.,0.004215469036169616,Financials,794693
FIVE,Five Below Inc.,0.004204755361839728,Consumer Discretionary,628450
BRO,Brown & Brown Inc.,0.0041403125102419365,Financials,2643479
EHC,Encompass Health Corporation,0.004118543449642932,Health Care,1114980
NDSN,Nordson Corporation,0.004100151307031585,Industrials,589835
LPT,Liberty Property Trust,0.004093739182995497,Real Estate,1666035
HRC,Hill-Rom Holdings Inc.,0.00405877401133163,Health Care,758320
SBNY,Signature Bank,0.004056864444612419,Financials,601648
ARW,Arrow Electronics Inc.,0.004050130709339413,Information Technology,982484
CDK,CDK Global Inc,0.004046994999779445,Information Technology,1451352
JLL,Jones Lang LaSalle Incorporated,0.004013286122009796,Real Estate,513569
