symbol,company,last.sale.price,market.cap,ipo.year,sector,industry
NNVC,"NanoViricides, Inc.",0.2601,$18.05M,NA,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ATEST,NASDAQ TEST STOCK,25,NA,NA,NA,NA
ATEST.A,NASDAQ TEST STOCK,NA,NA,NA,NA,NA
ATEST.B,NASDAQ TEST STOCK,NA,NA,NA,NA,NA
ATEST.C,NASDAQ TEST STOCK,NA,NA,NA,NA,NA
NHC,National HealthCare Corporation,75.29,$1.15B,NA,Health Care,Hospital/Nursing Management
NAVB,"Navidea Biopharmaceuticals, Inc.",0.1289,$23.45M,NA,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NTIP,"Network-1 Technologies, Inc.",2.58,$61.29M,NA,Miscellaneous,Multi-Sector Companies
NBW,Neuberger Berman California Municipal Fund Inc,12.539,$69.6M,2002,NA,NA
NHS,Neuberger Berman High Yield Strategies Fund,10.41,$203.42M,NA,NA,NA
NML,Neuberger Berman MLP Income Fund Inc.,7.63,$432.31M,2013,NA,NA
NBH,Neuberger Berman Municipal Fund Inc.,13.39,$251.79M,2002,NA,NA
NBO,Neuberger Berman New York Municipal Fund Inc.,11.52,$58.49M,2002,NA,NA
NRO,"Neuberger Berman Real Estate Securities Income Fund, Inc.",4.46,$211.49M,2003,NA,NA
UWN,"Nevada Gold & Casinos, Inc.",2.44,$43.35M,NA,Consumer Services,Services-Misc. Amusement & Recreation
NSU,Nevsun Resources Ltd,4.52,$1.4B,NA,Basic Industries,Precious Metals
GBR,"New Concept Energy, Inc",1.9,$9.75M,NA,Energy,Oil & Gas Production
NEN,New England Realty Associates Limited Partnership,59,$220.16M,NA,Consumer Services,Building operators
NGD,New Gold Inc.,0.9582,$554.91M,NA,Basic Industries,Precious Metals
NXE,Nexgen Energy Ltd.,1.76,$618.18M,NA,Basic Industries,Precious Metals
HLTH,Nobilis Health Corp.,0.43120000000000003,$33.74M,2015,Health Care,Hospital/Nursing Management
NAK,"Northern Dynasty Minerals, Ltd.",0.72,$225.66M,NA,Basic Industries,Precious Metals
NOG,"Northern Oil and Gas, Inc.",2.8,$1.08B,NA,Energy,Oil & Gas Production
NBY,"NovaBay Pharmaceuticals, Inc.",1.13,$19.31M,2007,Health Care,Major Pharmaceuticals
NG,Novagold Resources Inc.,3.5,$1.14B,NA,Basic Industries,Precious Metals
NRCG,NRC Group Holdings Corp.,9.39,$346.51M,2017,Basic Industries,Environmental Services
NRCG.WS,NRC Group Holdings Corp.,NA,NA,NA,NA,NA
NTN,"NTN Buzztime, Inc.",3.18,$9.14M,NA,Consumer Services,Broadcasting
NES,"Nuverra Environmental Solutions, Inc.",11.18,$174.58M,2017,Energy,Oilfield Services/Equipment
OCX,OncoCyte Corporation,1.8,$73.2M,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
OGEN,Oragenics Inc.,0.98,$28.84M,NA,Health Care,Major Pharmaceuticals
TIS,Orchids Paper Products Company,1.4,$14.94M,2005,Basic Industries,Paper
ORM,"Owens Realty Mortgage, Inc.",20.52,$174.07M,2013,Consumer Services,Real Estate Investment Trusts
PCG^A,Pacific Gas & Electric Co.,15.7,NA,NA,NA,NA
PCG^B,Pacific Gas & Electric Co.,14.1553,NA,NA,NA,NA
PCG^C,Pacific Gas & Electric Co.,13.15,NA,NA,NA,NA
PCG^D,Pacific Gas & Electric Co.,13.03,NA,NA,NA,NA
PCG^E,Pacific Gas & Electric Co.,13,NA,NA,NA,NA
PCG^G,Pacific Gas & Electric Co.,12.75,NA,NA,NA,NA
PCG^H,Pacific Gas & Electric Co.,13,NA,NA,NA,NA
PCG^I,Pacific Gas & Electric Co.,12.6,NA,NA,NA,NA
PTN,"Palatin Technologies, Inc.",0.701,$142.35M,NA,Health Care,Major Pharmaceuticals
PZG,Paramount Gold Nevada Corp.,0.9114,$23.22M,2015,Basic Industries,Precious Metals
PRK,Park National Corporation,94.17,$1.48B,NA,Finance,Major Banks
PED,Pedevco Corp.,1.54,$23.38M,NA,Energy,Oil & Gas Production
PFNX,Pfenex Inc.,3.93,$123.64M,2014,Health Care,Major Pharmaceuticals
HNW,Pioneer Diversified High Income Trust,13.53,$112.74M,2007,NA,NA
PLAG,Planet Green Holdings Corp,2.6847,$11783.15,NA,Consumer Non-Durables,Packaged Foods
PLG,Platinum Group Metals Ltd.,1.38,$40.19M,NA,Basic Industries,Precious Metals
PLYM,"Plymouth Industrial REIT, Inc.",15.43,$74.4M,2017,Consumer Services,Real Estate Investment Trusts
PLYM^A,"Plymouth Industrial REIT, Inc.",24.072,NA,NA,NA,NA
PLM,Polymet Mining Corp.,0.78,$250.14M,NA,Basic Industries,Precious Metals
PW,Power REIT,5.21,$9.74M,NA,Consumer Services,Real Estate Investment Trusts
PW^A,Power REIT,25.51,NA,NA,NA,NA
PLX,"Protalix BioTherapeutics, Inc.",0.4281,$63.52M,NA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RLGT,"Radiant Logistics, Inc.",5.2,$257.19M,NA,Transportation,Oil Refining/Marketing
RFL,"Rafael Holdings, Inc.",16.49,$207.34M,2018,Finance,Real Estate
UTG,Reaves Utility Income Fund,30.8,$1.5B,2004,NA,NA
REED,"Reeds, Inc.",2.54,$65.31M,NA,Consumer Non-Durables,Beverages (Production/Distribution)
RHE,"Regional Health Properties, Inc.",1.21,$2.04M,2017,Health Care,Hospital/Nursing Management
RHE^A,"Regional Health Properties, Inc.",3.6626,NA,NA,NA,NA
RCG,"RENN Fund, Inc.",1.58,$7.05M,NA,NA,NA
RVP,"Retractable Technologies, Inc.",0.7,$22.87M,NA,Health Care,Medical/Dental Instruments
RNN,"Rexahn Pharmaceuticals, Inc.",1.25,$46.9M,NA,Health Care,Major Pharmaceuticals
