symbol,company,last.sale.price,market.cap,ipo.year,sector,industry
EMJ,Eaton Vance New Jersey Municipal Bond Fund,12.06,$31.1M,2002,NA,NA
EVJ,Eaton Vance New Jersey Municipal Income Trust,11.5,$52.88M,1999,NA,NA
ENX,Eaton Vance New York Municipal Bond Fund,11.3,$204.74M,2002,NA,NA
EVY,Eaton Vance New York Municipal Income Trust,11.846,$64.87M,1999,NA,NA
EIO,Eaton Vance Ohio Municipal Bond Fund,11.71,$29.72M,2002,NA,NA
EVO,Eaton Vance Ohio Municipal Income Trust,12.62,$36.06M,1999,NA,NA
EIP,Eaton Vance Pennsylvania Municipal Bond Fund,11.7408,$34.75M,2002,NA,NA
EVP,Eaton Vance Pennsylvania Municipal Income Trust,11.4589,$29.8M,1999,NA,NA
ELMD,"Electromed, Inc.",5,$41.77M,2011,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ELLO,Ellomay Capital Ltd.,8.21,$87.65M,NA,Public Utilities,Electric Utilities: Central
ECF,Ellsworth Growth and Income Fund Ltd.,8.91,$115.25M,1986,NA,NA
ECF^A,Ellsworth Growth and Income Fund Ltd.,23.86,NA,NA,NA,NA
EMAN,eMagin Corporation,0.89,$40.19M,NA,Technology,Semiconductors
MSN,Emerson Radio Corporation,1.41,$30.27M,NA,Consumer Non-Durables,Consumer Electronics/Appliances
EMX,EMX Royalty Corporation,1.1256,$90.7M,NA,Basic Industries,Precious Metals
UUUU,Energy Fuels Inc,2.91,$265.5M,NA,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
UUUU.WS,Energy Fuels Inc,NA,NA,NA,NA,NA
ENSV,ENSERVCO Corporation,0.59,$32.06M,NA,Energy,Oilfield Services/Equipment
ESNC,"EnSync, Inc.",0.1994,$13.58M,NA,Public Utilities,Electric Utilities: Central
EGI,Entree Resources Ltd.,0.3898,$68.14M,2017,Basic Industries,Precious Metals
ESP,Espey Mfg. & Electronics Corp.,26.5019,$63.51M,NA,Capital Goods,Industrial Machinery/Components
EVBN,"Evans Bancorp, Inc.",33.65,$162.56M,NA,Finance,Major Banks
EVI,"EVI Industries, Inc.",31.62,$361.02M,NA,Consumer Services,Other Consumer Services
EPM,"Evolution Petroleum Corporation, Inc.",7.69,$254.98M,NA,Energy,Oil & Gas Production
FEN,First Trust Energy Income and Growth Fund,21.62,$432.06M,2004,NA,NA
BDL,"Flanigan&#39;s Enterprises, Inc.",24.7,$45.91M,NA,Consumer Services,Restaurants
FSI,Flexible Solutions International Inc.,1.39,$16.17M,NA,Basic Industries,Major Chemicals
