symbol,company,last.sale.price,market.cap,ipo.year,sector,industry
YI,"111, Inc.",7.53,$614.03M,2018,Health Care,Medical/Nursing Services
PIH,"1347 Property Insurance Holdings, Inc.",4.36,$26.13M,2014,Finance,Property-Casualty Insurers
PIHPP,"1347 Property Insurance Holdings, Inc.",21.934,NA,NA,Finance,Property-Casualty Insurers
TURN,180 Degree Capital Corp.,2.01,$62.55M,NA,Finance,Finance/Investors Services
FLWS,"1-800 FLOWERS.COM, Inc.",12.9,$827.9M,1999,Consumer Services,Other Specialty Stores
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.82,$31.43M,2019,Finance,Banks
FCCY,1st Constitution Bancorp (NJ),19.43,$163.3M,NA,Finance,Savings Institutions
SRCE,1st Source Corporation,45.11,$1.17B,NA,Finance,Major Banks
VNET,"21Vianet Group, Inc.",9.41,$1.05B,2011,Technology,"Computer Software: Programming, Data Processing"
TWOU,"2U, Inc.",56.43,$3.27B,2014,Technology,Computer Software: Prepackaged Software
QFIN,"360 Finance, Inc.",13.34,$1.92B,2018,Finance,Finance: Consumer Services
TPNL,"3PEA International, Inc.",4.18,$193.95M,NA,Miscellaneous,Business Services
JOBS,"51job, Inc.",67.85,$4.19B,2004,Technology,Diversified Commercial Services
EGHT,8x8 Inc,20.15,$1.92B,NA,Technology,EDP Services
AAON,"AAON, Inc.",37.66,$1.96B,NA,Capital Goods,Industrial Machinery/Components
ABEO,Abeona Therapeutics Inc.,7.26,$348.08M,NA,Health Care,Major Pharmaceuticals
ABEOW,Abeona Therapeutics Inc.,2.96,NA,NA,Health Care,Major Pharmaceuticals
ABIL,Ability Inc.,2.14,$7.84M,2014,Consumer Durables,Telecommunications Equipment
ABMD,"ABIOMED, Inc.",333.74,$15.03B,NA,Health Care,Medical/Dental Instruments
AXAS,Abraxas Petroleum Corporation,1.34,$223.25M,NA,Energy,Oil & Gas Production
ACIU,AC Immune SA,11.34,$763.89M,2016,Health Care,Major Pharmaceuticals
ACIA,"Acacia Communications, Inc.",42.63,$1.72B,2016,Technology,Semiconductors
ACTG,Acacia Research Corporation,3.03,$150.41M,NA,Miscellaneous,Multi-Sector Companies
ACHC,"Acadia Healthcare Company, Inc.",28.99,$2.56B,NA,Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,21.07,$2.64B,1985,Health Care,Major Pharmaceuticals
ACST,"Acasti Pharma, Inc.",1.11,$86.72M,NA,Health Care,Major Pharmaceuticals
AXDX,"Accelerate Diagnostics, Inc.",16.76,$908.37M,NA,Capital Goods,Biotechnology: Laboratory Analytical Instruments
XLRN,Acceleron Pharma Inc.,40.99,$1.89B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ANCX,Access National Corporation,24.32,$512.36M,NA,Finance,Savings Institutions
ARAY,Accuray Incorporated,3.87,$335.37M,2007,Health Care,Medical/Dental Instruments
ACRX,"AcelRx Pharmaceuticals, Inc.",2.51,$155.39M,2011,Health Care,Major Pharmaceuticals
ACER,Acer Therapeutics Inc.,24.99,$251.22M,NA,Health Care,Major Pharmaceuticals
ACET,Aceto Corporation,1.41,$43.38M,NA,Health Care,Other Pharmaceuticals
AKAO,"Achaogen, Inc.",1.31,$59.88M,2014,Health Care,Major Pharmaceuticals
ACHV,"Achieve Life Sciences, Inc.",1.33,$8.94M,NA,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACHN,"Achillion Pharmaceuticals, Inc.",2.19,$303.57M,2006,Health Care,Major Pharmaceuticals
ACIW,"ACI Worldwide, Inc.",28.74,$3.33B,NA,Technology,Computer Software: Prepackaged Software
ACRS,"Aclaris Therapeutics, Inc.",6.36,$260.35M,2015,Health Care,Major Pharmaceuticals
ACMR,"ACM Research, Inc.",9.77,$156.36M,2017,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation,37.55,$264.44M,NA,Finance,Major Banks
ACOR,"Acorda Therapeutics, Inc.",16.26,$773.3M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATVI,"Activision Blizzard, Inc",48.65,$37.12B,NA,Technology,Computer Software: Prepackaged Software
ADMS,"Adamas Pharmaceuticals, Inc.",9.02,$246.57M,2014,Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,2.88,$136.2M,NA,Health Care,Major Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc,4.86,$508.21M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADUS,Addus HomeCare Corporation,63.59,$832.92M,2009,Health Care,Medical/Nursing Services
AEY,"ADDvantage Technologies Group, Inc.",1.46,$15.05M,NA,Consumer Services,Office Equipment/Supplies/Services
IOTS,Adesto Technologies Corporation,5.03,$148.05M,2015,Technology,Semiconductors
ADIL,"Adial Pharmaceuticals, Inc",6.7,$45.02M,2018,Health Care,Major Pharmaceuticals
ADILW,"Adial Pharmaceuticals, Inc",1.02,NA,2018,Health Care,Major Pharmaceuticals
ADMA,ADMA Biologics Inc,3.36,$155.74M,NA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc.,247.51,$120.82B,1986,Technology,Computer Software: Prepackaged Software
ADOM,"ADOMANI, Inc.",0.2551,$18.55M,2017,Capital Goods,Auto Parts:O.E.M.
ADTN,"ADTRAN, Inc.",11.89,$566.56M,1994,Public Utilities,Telecommunications Equipment
ADRO,"Aduro Biotech, Inc.",2.7,$214.39M,2015,Health Care,Major Pharmaceuticals
ADES,"Advanced Emissions Solutions, Inc.",11.14,$221.86M,NA,Basic Industries,Major Chemicals
AEIS,"Advanced Energy Industries, Inc.",48,$1.85B,1995,Capital Goods,Industrial Machinery/Components
AMD,"Advanced Micro Devices, Inc.",20.77,$20.76B,NA,Technology,Semiconductors
ADXS,"Advaxis, Inc.",0.3479,$24.25M,NA,Health Care,Major Pharmaceuticals
ADVM,"Adverum Biotechnologies, Inc.",3.24,$203.69M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,20.3,$1.52M,NA,NA,NA
DWSH,AdvisorShares Dorsey Wright Short ETF,25.76,$13.52M,NA,NA,NA
ACT,AdvisorShares Vice ETF,22.7914,$11.97M,NA,NA,NA
AEGN,Aegion Corp,18.79,$607.18M,NA,Basic Industries,Water Supply
AGLE,"Aeglea BioTherapeutics, Inc.",8.92,$213.74M,2016,Health Care,Major Pharmaceuticals
AEHR,Aehr Test Systems,1.13,$25.26M,1997,Capital Goods,Electrical Products
AMTX,"Aemetis, Inc",1.08,$21.97M,NA,Basic Industries,Major Chemicals
AERI,"Aerie Pharmaceuticals, Inc.",43.99,$2B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVAV,"AeroVironment, Inc.",76.75,$1.84B,2007,Capital Goods,Aerospace
ARPO,"Aerpio Pharmaceuticals, Inc.",3.3,$133.94M,NA,Health Care,Major Pharmaceuticals
AEZS,AEterna Zentaris Inc.,3.54,$58.2M,NA,Health Care,Major Pharmaceuticals
AEMD,"Aethlon Medical, Inc.",1.4,$25.65M,NA,Capital Goods,Biotechnology: Laboratory Analytical Instruments
GNMX,"Aevi Genomic Medicine, Inc.",0.216,$13.99M,NA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AFMD,Affimed N.V.,3.54,$220.99M,2014,Health Care,Major Pharmaceuticals
AGEN,Agenus Inc.,3.67,$440.38M,2e3,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGRX,"Agile Therapeutics, Inc.",0.891,$30.63M,2014,Health Care,Major Pharmaceuticals
AGYS,"Agilysys, Inc.",14.75,$347.04M,NA,Technology,EDP Services
AGIO,"Agios Pharmaceuticals, Inc.",55.89,$3.25B,2013,Health Care,Major Pharmaceuticals
AGMH,AGM Group Holdings Inc.,26.3221,$874.32M,2018,Technology,EDP Services
AGNC,AGNC Investment Corp.,18.01,$9.4B,2008,Consumer Services,Real Estate Investment Trusts
AGNCB,AGNC Investment Corp.,25.25,$8.75B,NA,Consumer Services,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp.,25.5,NA,NA,Consumer Services,Real Estate Investment Trusts
AGFS,"AgroFresh Solutions, Inc.",4.04,$203.77M,2014,Finance,Business Services
AGFSW,"AgroFresh Solutions, Inc.",0.1814,NA,2014,Finance,Business Services
ALRN,"Aileron Therapeutics, Inc.",1.23,$18.14M,2017,Health Care,Major Pharmaceuticals
AIMT,"Aimmune Therapeutics, Inc.",22.9,$1.42B,2015,Health Care,Major Pharmaceuticals
AIRT,"Air T, Inc.",30.01,$60.91M,NA,Transportation,Air Freight/Delivery Services
ATSG,"Air Transport Services Group, Inc",24.21,$1.43B,NA,Transportation,Air Freight/Delivery Services
AIRG,"Airgain, Inc.",11.59,$114.91M,2016,Technology,Radio And Television Broadcasting And Communications Equipment
AMCN,AirMedia Group Inc,0.3981,$25.01M,2007,Technology,Advertising
AKAM,"Akamai Technologies, Inc.",65.79,$10.71B,1999,Miscellaneous,Business Services
AKTX,Akari Therapeutics Plc,1.8508,$28.24M,NA,Health Care,Major Pharmaceuticals
AKCA,"Akcea Therapeutics, Inc.",30.06,$2.68B,2017,Health Care,Major Pharmaceuticals
AKBA,"Akebia Therapeutics, Inc.",6.39,$746.91M,2014,Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc.,1.39,$17.34M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKRX,"Akorn, Inc.",3.59,$450.52M,NA,Health Care,Major Pharmaceuticals
AKTS,"Akoustis Technologies, Inc.",6.4,$190.56M,NA,Public Utilities,Telecommunications Equipment
ALRM,"Alarm.com Holdings, Inc.",60.38,$2.9B,2015,Technology,Computer Software: Prepackaged Software
ALSK,"Alaska Communications Systems Group, Inc.",1.98,$105.31M,1999,Public Utilities,Telecommunications Equipment
ALAC,Alberton Acquisition Corporation,9.86,$144.84M,2018,Finance,Business Services
ALACR,Alberton Acquisition Corporation,0.25,NA,2018,Finance,Business Services
ALACU,Alberton Acquisition Corporation,10.15,NA,2018,Finance,Business Services
ALACW,Alberton Acquisition Corporation,0.12,NA,2018,Finance,Business Services
ALBO,"Albireo Pharma, Inc.",24.15,$289.07M,NA,Health Care,Major Pharmaceuticals
ABDC,Alcentra Capital Corp.,6.68,$90.3M,NA,NA,NA
ALDR,"Alder BioPharmaceuticals, Inc.",13.41,$916.26M,2014,Health Care,Major Pharmaceuticals
ALDX,"Aldeyra Therapeutics, Inc.",8.9,$233.58M,2014,Health Care,Major Pharmaceuticals
ALXN,"Alexion Pharmaceuticals, Inc.",117.05,$26.11B,1996,Health Care,Major Pharmaceuticals
ALCO,"Alico, Inc.",30.35,$226.25M,NA,Consumer Non-Durables,Farming/Seeds/Milling
ALGN,"Align Technology, Inc.",220.09,$17.6B,2001,Health Care,Industrial Specialties
ALIM,"Alimera Sciences, Inc.",0.85,$59.57M,2010,Health Care,Major Pharmaceuticals
ALYA,Alithya Group inc.,2.83,$136.99M,NA,Technology,"Computer Software: Programming, Data Processing"
ALJJ,"ALJ Regional Holdings, Inc.",1.393,$52.97M,NA,Miscellaneous,Business Services
ALKS,Alkermes plc,34.14,$5.3B,1991,Health Care,Major Pharmaceuticals
ALLK,Allakos Inc.,42.46,$1.79B,2018,Health Care,Major Pharmaceuticals
ABTX,"Allegiance Bancshares, Inc.",36.34,$793.2M,2015,Finance,Major Banks
ALGT,Allegiant Travel Company,122.69,$1.98B,2006,Transportation,Air Freight/Delivery Services
ALGR,Allegro Merger Corp.,9.83,$187.36M,2018,Finance,Business Services
ALGRR,Allegro Merger Corp.,0.28,NA,2018,Finance,Business Services
ALGRU,Allegro Merger Corp.,10.35,NA,2018,Finance,Business Services
ALGRW,Allegro Merger Corp.,0.29,NA,2018,Finance,Business Services
ALNA,"Allena Pharmaceuticals, Inc.",8.91,$184.98M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMMA,"Alliance MMA, Inc.",0.1947,$3.41M,2016,Consumer Services,Services-Misc. Amusement & Recreation
ARLP,"Alliance Resource Partners, L.P.",18.45,$2.4B,1999,Energy,Coal Mining
LNT,Alliant Energy Corporation,42.95,$10.14B,NA,Public Utilities,Power Generation
AHPI,"Allied Healthcare Products, Inc.",1.94,$7.79M,1992,Health Care,Industrial Specialties
AMOT,"Allied Motion Technologies, Inc.",43.41,$411.37M,NA,Capital Goods,Electrical Products
ALQA,"Alliqua BioMedical, Inc.",2.3,$11.51M,NA,Health Care,Medical/Dental Instruments
ALLO,"Allogene Therapeutics, Inc.",28.58,$3.47B,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLT,Allot Ltd.,6.27,$211.39M,2006,Technology,Computer Communications Equipment
MDRX,"Allscripts Healthcare Solutions, Inc.",12.19,$2.13B,NA,Technology,EDP Services
ALNY,"Alnylam Pharmaceuticals, Inc.",83.12,$8.41B,2004,Health Care,Major Pharmaceuticals
AOSL,Alpha and Omega Semiconductor Limited,10.52,$250.25M,2010,Technology,Semiconductors
GOOG,Alphabet Inc.,1098.26,$763.8B,2004,Technology,"Computer Software: Programming, Data Processing"
GOOGL,Alphabet Inc.,1107.3,$770.09B,NA,Technology,"Computer Software: Programming, Data Processing"
SMCP,AlphaMark Actively Managed Small Cap ETF,22.6771,$22.68M,NA,NA,NA
ATEC,"Alphatec Holdings, Inc.",1.72,$74.33M,2006,Health Care,Medical/Dental Instruments
ALPN,"Alpine Immune Sciences, Inc.",5.7008,$78.97M,2015,Health Care,Major Pharmaceuticals
AMR,"Alta Mesa Resources, Inc.",1.17,$445.63M,2017,Energy,Oil & Gas Production
AMRWW,"Alta Mesa Resources, Inc.",0.085,NA,2017,Energy,Oil & Gas Production
AABA,Altaba Inc.,64.64,$38.95B,NA,Technology,EDP Services
ALTR,Altair Engineering Inc.,30.93,$2.18B,2017,Technology,Computer Software: Prepackaged Software
ALT,"Altimmune, Inc.",2.91,$25.48M,NA,Health Care,Major Pharmaceuticals
ASPS,Altisource Portfolio Solutions S.A.,23.88,$398.18M,NA,Consumer Services,Other Consumer Services
AIMC,Altra Industrial Motion Corp.,29.04,$1.87B,2006,Capital Goods,Industrial Machinery/Components
ALTM,Altus Midstream Company,8.57,$2.78B,2017,Energy,Oil & Gas Production
AMAG,"AMAG Pharmaceuticals, Inc.",17.05,$590.05M,NA,Health Care,Major Pharmaceuticals
AMAL,Amalgamated Bank,19.45,$617.96M,2018,Consumer Non-Durables,Textiles
AMRN,Amarin Corporation plc,17.23,$5.62B,NA,Health Care,Major Pharmaceuticals
AMRK,"A-Mark Precious Metals, Inc.",13.18,$92.67M,NA,Basic Industries,Other Specialty Stores
AMZN,"Amazon.com, Inc.",1696.2,$829.39B,1997,Consumer Services,Catalog/Specialty Distribution
AMBC,"Ambac Financial Group, Inc.",18.86,$855.04M,NA,Finance,Property-Casualty Insurers
AMBCW,"Ambac Financial Group, Inc.",9.47,NA,NA,Finance,Property-Casualty Insurers
AMBA,"Ambarella, Inc.",36.33,$1.16B,2012,Technology,Semiconductors
AMCX,AMC Networks Inc.,63.84,$3.61B,NA,Consumer Services,Television Services
AMCI,AMCI Acquisition Corp.,NA,NA,2018,Finance,Business Services
AMCIU,AMCI Acquisition Corp.,9.98,NA,2018,Finance,Business Services
AMCIW,AMCI Acquisition Corp.,NA,NA,2018,Finance,Business Services
DOX,Amdocs Limited,60.81,$8.49B,NA,Technology,EDP Services
AMED,Amedisys Inc,127.12,$4.05B,NA,Health Care,Medical/Nursing Services
UHAL,Amerco,356.78,$7B,NA,Consumer Services,Rental/Leasing Companies
AMRH,"Ameri Holdings, Inc.",0.235,$9.31M,NA,Technology,Semiconductors
AMRHW,"Ameri Holdings, Inc.",0.03,NA,NA,Technology,Semiconductors
ATAX,"America First Multifamily Investors, L.P.",5.99,$362.52M,NA,Finance,Finance: Consumer Services
AMOV,"America Movil, S.A.B. de C.V.",15.58,$51.44B,NA,Public Utilities,Telecommunications Equipment
AAL,"American Airlines Group, Inc.",33.97,$15.65B,NA,Transportation,Air Freight/Delivery Services
AETI,"American Electric Technologies, Inc.",0.93,$8.43M,NA,Energy,Industrial Machinery/Components
AFIN,"American Finance Trust, Inc.",13.1,$1.39B,NA,Consumer Services,Real Estate Investment Trusts
AMNB,"American National Bankshares, Inc.",32.85,$286.27M,NA,Finance,Major Banks
ANAT,American National Insurance Company,133.85,$3.6B,NA,Finance,Life Insurance
AOBC,American Outdoor Brands Corporation,13.34,$727.56M,NA,Capital Goods,Ordnance And Accessories
APEI,"American Public Education, Inc.",30.79,$505.7M,2007,Consumer Services,Other Consumer Services
AMRB,American River Bankshares,13.31,$78.11M,NA,Finance,Major Banks
AMSWA,"American Software, Inc.",10.89,$337.12M,NA,Technology,Computer Software: Prepackaged Software
AMSC,American Superconductor Corporation,11.97,$255.73M,1991,Consumer Durables,Metal Fabrications
AMWD,American Woodmark Corporation,69.75,$1.2B,1986,Basic Industries,Forest Products
CRMT,"America&#39;s Car-Mart, Inc.",71.45,$484.14M,NA,Consumer Durables,Automotive Aftermarket
ABCB,Ameris Bancorp,36.24,$1.72B,1994,Finance,Major Banks
AMSF,"AMERISAFE, Inc.",55.41,$1.07B,2005,Finance,Property-Casualty Insurers
ASRV,AmeriServ Financial Inc.,4.13,$73.29M,NA,Finance,Major Banks
ASRVP,AmeriServ Financial Inc.,28.7,NA,NA,Finance,Major Banks
ATLO,Ames National Corporation,25.27,$235.29M,NA,Finance,Major Banks
AMGN,Amgen Inc.,203.88,$129.92B,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FOLD,"Amicus Therapeutics, Inc.",12.31,$2.33B,2007,Health Care,Major Pharmaceuticals
AMKR,"Amkor Technology, Inc.",7.49,$1.79B,1998,Technology,Semiconductors
AMPH,"Amphastar Pharmaceuticals, Inc.",21.94,$1.01B,2014,Health Care,Major Pharmaceuticals
IBUY,Amplify Online Retail ETF,44.93,$287.55M,NA,NA,NA
ASYS,"Amtech Systems, Inc.",4.7,$66.82M,NA,Technology,Industrial Machinery/Components
AMRS,"Amyris, Inc.",3.59,$264.07M,2010,Basic Industries,Major Chemicals
ADI,"Analog Devices, Inc.",91.36,$33.82B,NA,Technology,Semiconductors
ANAB,"AnaptysBio, Inc.",73.05,$1.95B,2017,Health Care,Major Pharmaceuticals
AVXL,Anavex Life Sciences Corp.,1.82,$84.79M,NA,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ANGI,ANGI Homeservices Inc.,16.5,$8.27B,NA,Consumer Services,Advertising
ANGO,"AngioDynamics, Inc.",20.88,$775.42M,2004,Health Care,Medical/Dental Instruments
ANIP,"ANI Pharmaceuticals, Inc.",54.67,$648.25M,NA,Health Care,Major Pharmaceuticals
ANIK,Anika Therapeutics Inc.,35.31,$501.81M,NA,Health Care,Medical/Dental Instruments
ANIX,"Anixa Biosciences, Inc.",4.26,$82.19M,NA,Health Care,Medical Specialities
ANSS,"ANSYS, Inc.",161.71,$13.51B,1996,Technology,Computer Software: Prepackaged Software
ATRS,"Antares Pharma, Inc.",3.07,$483.65M,NA,Health Care,Medical/Dental Instruments
APLS,"Apellis Pharmaceuticals, Inc.",14.88,$836.89M,2017,Health Care,Major Pharmaceuticals
APOG,"Apogee Enterprises, Inc.",34.25,$930.77M,NA,Capital Goods,Auto Parts:O.E.M.
APEN,"Apollo Endosurgery, Inc.",3.38,$74M,NA,Health Care,Medical/Dental Instruments
AINV,Apollo Investment Corporation,14.53,$341.58M,2004,NA,NA
AMEH,"Apollo Medical Holdings, Inc.",19.58,$667.38M,NA,Consumer Services,Professional Services
APPF,"AppFolio, Inc.",61.89,$2.12B,2015,Technology,Computer Software: Prepackaged Software
APPN,Appian Corporation,31.16,$1.98B,2017,Technology,Computer Software: Prepackaged Software
AAPL,Apple Inc.,156.82,$741.73B,1980,Technology,Computer Manufacturing
ARCI,"Appliance Recycling Centers of America, Inc.",0.5184,$4.39M,NA,Consumer Services,Home Furnishings
APDN,Applied DNA Sciences Inc,0.448,$15.95M,NA,Consumer Services,Other Consumer Services
APDNW,Applied DNA Sciences Inc,0.01,NA,NA,Consumer Services,Other Consumer Services
AGTC,Applied Genetic Technologies Corporation,2.905,$52.68M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMAT,"Applied Materials, Inc.",35.71,$34.23B,1972,Technology,Semiconductors
AAOI,"Applied Optoelectronics, Inc.",16.59,$328.46M,2013,Technology,Semiconductors
AREX,Approach Resources Inc.,1.08,$102.07M,2007,Energy,Oil & Gas Production
APRI,"Apricus Biosciences, Inc.",0.2381,$6.71M,NA,Health Care,Major Pharmaceuticals
APVO,Aptevo Therapeutics Inc.,1.61,$36.72M,NA,Health Care,Major Pharmaceuticals
APTX,Aptinyx Inc.,5.24,$175.53M,2018,Health Care,Major Pharmaceuticals
APM,Aptorum Group Limited,14.46,$435.48M,2018,Health Care,Major Pharmaceuticals
APTO,"Aptose Biosciences, Inc.",2.21,$83.47M,NA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
APYX,Apyx Medical Corporation,8.38,$278.25M,NA,Health Care,Medical/Dental Instruments
AQMS,"Aqua Metals, Inc.",2.09,$81.37M,2015,Basic Industries,Metal Fabrications
AQB,"AquaBounty Technologies, Inc.",2.37,$35.78M,NA,NA,NA
AQST,"Aquestive Therapeutics, Inc.",6.92,$172.6M,2018,Health Care,Major Pharmaceuticals
AQXP,"Aquinox Pharmaceuticals, Inc.",2.3832,$56.09M,2014,Health Care,Major Pharmaceuticals
PETX,"Aratana Therapeutics, Inc.",4.42,$214.92M,2013,Health Care,Major Pharmaceuticals
ARAV,"Aravive, Inc.",3.72,$41.6M,2014,Health Care,Major Pharmaceuticals
ABUS,Arbutus Biopharma Corporation,3.69,$204.71M,NA,Health Care,Major Pharmaceuticals
ARCW,"ARC Group Worldwide, Inc.",0.89,$20.78M,NA,Capital Goods,Metal Fabrications
ABIO,"ARCA biopharma, Inc.",0.4248,$5.91M,NA,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
RKDA,"Arcadia Biosciences, Inc.",3.66,$17.48M,2015,Basic Industries,Agricultural Chemicals
ARCB,ArcBest Corporation,39.38,$1.01B,NA,Transportation,Trucking Freight/Courier Services
ACGL,Arch Capital Group Ltd.,28.48,$11.53B,NA,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd.,22.69,NA,NA,Finance,Property-Casualty Insurers
ACGLP,Arch Capital Group Ltd.,22.05,NA,NA,Finance,Property-Casualty Insurers
FUV,"Arcimoto, Inc.",3.54,$53.21M,2017,Consumer Non-Durables,Motor Vehicles
ARCE,Arco Platform Limited,22.07,$1.11B,2018,Consumer Services,Other Consumer Services
ARCT,Arcturus Therapeutics Ltd.,5.02,$53.8M,2013,NA,NA
ARDX,"Ardelyx, Inc.",2.23,$138.56M,2014,Health Care,Major Pharmaceuticals
ARNA,"Arena Pharmaceuticals, Inc.",43.17,$2.13B,2e3,Health Care,Major Pharmaceuticals
ARCC,Ares Capital Corporation,16.24,$6.92B,2004,NA,NA
ARGX,argenx SE,102.04,$3.67B,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARDS,Aridis Pharmaceuticals Inc.,9.011,$73.03M,2018,Health Care,Major Pharmaceuticals
ARKR,Ark Restaurants Corp.,18.35,$63.76M,NA,Consumer Services,Restaurants
ARTX,Arotech Corporation,3.24,$85.82M,1994,Miscellaneous,Industrial Machinery/Components
ARQL,"ArQule, Inc.",3.74,$407.64M,1996,Health Care,Major Pharmaceuticals
ARRY,Array BioPharma Inc.,17.53,$3.74B,2e3,Health Care,Major Pharmaceuticals
ARRS,ARRIS International plc,30.81,$5.36B,NA,Technology,Radio And Television Broadcasting And Communications Equipment
DWCR,Arrow DWA Country Rotation ETF,26.2701,$15.76M,NA,NA,NA
DWAT,Arrow DWA Tactical ETF,10.2091,$5.1M,NA,NA,NA
AROW,Arrow Financial Corporation,32.47,$469.27M,NA,Finance,Major Banks
ARWR,"Arrowhead Pharmaceuticals, Inc.",14.52,$1.34B,NA,Health Care,Major Pharmaceuticals
ASNS,"Arsanis, Inc.",3.2,$45.81M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARTNA,Artesian Resources Corporation,34.7,$320.85M,NA,Public Utilities,Water Supply
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",2.0656,$8.69M,NA,Capital Goods,Industrial Machinery/Components
ARVN,"Arvinas, Inc.",16.65,$538.64M,2018,Health Care,Major Pharmaceuticals
ARYA,ARYA Sciences Acquisition Corp.,9.8,$176.09M,2018,Finance,Business Services
ARYAU,ARYA Sciences Acquisition Corp.,10.34,NA,2018,Finance,Business Services
ARYAW,ARYA Sciences Acquisition Corp.,1.6,NA,2018,Finance,Business Services
ASNA,"Ascena Retail Group, Inc.",3.03,$598.23M,NA,Consumer Services,Clothing/Shoe/Accessory Stores
ASND,Ascendis Pharma A/S,73.89,$3.11B,2015,Health Care,Major Pharmaceuticals
ASCMA,"Ascent Capital Group, Inc.",0.61,$7.59M,NA,Consumer Services,Other Consumer Services
APWC,Asia Pacific Wire & Cable Corporation Limited,1.9425,$26.84M,NA,Basic Industries,Telecommunications Equipment
ASLN,ASLAN Pharmaceuticals Limited,3.5,$112.17M,2018,Health Care,Major Pharmaceuticals
ASML,ASML Holding N.V.,162.7,$69.4B,1995,Technology,Industrial Machinery/Components
ASPU,Aspen Group Inc.,4.94,$90.77M,NA,Consumer Services,Other Consumer Services
AZPN,"Aspen Technology, Inc.",90.97,$6.44B,1994,Technology,EDP Services
ASMB,"Assembly Biosciences, Inc.",21,$534.73M,NA,Health Care,Major Pharmaceuticals
ASRT,"Assertio Therapeutics, Inc.",4.18,$267.27M,NA,Health Care,Major Pharmaceuticals
ASFI,"Asta Funding, Inc.",4.15,$27.74M,1995,Finance,Finance Companies
ASTE,"Astec Industries, Inc.",37.83,$862.43M,1986,Capital Goods,Construction/Ag Equipment/Trucks
ATRO,Astronics Corporation,30.67,$991.15M,NA,Capital Goods,Military/Government/Technical
ALOT,"AstroNova, Inc.",19.64,$136.55M,1983,Technology,Computer peripheral equipment
ASTC,Astrotech Corporation,5,$20.48M,NA,Capital Goods,Biotechnology: Laboratory Analytical Instruments
ASUR,Asure Software Inc,5.84,$89.63M,NA,Technology,EDP Services
ASV,"ASV Holdings, Inc.",3.74,$36.78M,2017,Capital Goods,Construction/Ag Equipment/Trucks
ATAI,ATA Inc.,0.98,$23.73M,2008,Consumer Services,Other Consumer Services
ATRA,"Atara Biotherapeutics, Inc.",37.25,$1.7B,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATHN,"athenahealth, Inc.",133.83,$5.51B,2007,Miscellaneous,Business Services
ATNX,"Athenex, Inc.",12.05,$806.07M,2017,Health Care,Major Pharmaceuticals
ATHX,"Athersys, Inc.",1.43,$202.7M,NA,Health Care,Major Pharmaceuticals
AAME,Atlantic American Corporation,2.733,$55.2M,NA,Finance,Life Insurance
ACBI,"Atlantic Capital Bancshares, Inc.",18.17,$474.38M,NA,Finance,Major Banks
AY,Atlantica Yield plc,18.06,$1.81B,2014,Public Utilities,Electric Utilities: Central
ATLC,Atlanticus Holdings Corporation,3.2675,$50.24M,1995,Finance,Finance: Consumer Services
AAWW,Atlas Air Worldwide Holdings,50.55,$1.29B,NA,Transportation,Transportation Services
AFH,"Atlas Financial Holdings, Inc.",9.98,$119.13M,2013,Finance,Property-Casualty Insurers
AFHBL,"Atlas Financial Holdings, Inc.",25.17,NA,NA,Finance,Property-Casualty Insurers
TEAM,Atlassian Corporation Plc,90.67,$21.59B,2015,Technology,Computer Software: Prepackaged Software
ATNI,"ATN International, Inc.",76.2,$1.22B,NA,Public Utilities,Telecommunications Equipment
